,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre
11808,11079,Kill Me Baby,TV,4-koma manga,13,False,"Jan 6, 2012 to Mar 30, 2012",24 min. per ep.,PG-13 - Teens 13 or older,6.94,28856,3779.0,1168,70323,321,Winter 2012,Unknown,"Pony Canyon, TBS, Magic Capsule",J.C.Staff,"Comedy, School, Seinen"
11811,2484,Gear Fighter Dendoh,TV,Unknown,38,False,"Oct 4, 2000 to Jun 27, 2001",23 min. per ep.,PG - Children,7.28,692,2486.0,6935,1936,11,Fall 2000,Wednesdays at 18:00 (JST),Yomiko Advertising,Sunrise,"Action, Adventure, Mecha, School, Sci-Fi, Space"
11818,27723,Kasumin 2nd Season,TV,Unknown,26,False,"Oct 5, 2002 to Apr 5, 2003",25 min. per ep.,G - All Ages,5.89,19,10790.0,11998,147,0,Fall 2002,Unknown,NHK,OLM,"Kids, Fantasy"
11833,25519,Yuuki Yuuna wa Yuusha de Aru,TV,Original,12,False,"Oct 17, 2014 to Dec 26, 2014",24 min. per ep.,PG-13 - Teens 13 or older,7.47,32784,1748.0,966,87784,888,Fall 2014,Fridays at 02:19 (JST),"Dentsu, Mainichi Broadcasting System, Pony Canyon, Movic, KlockWorx",Studio Gokumi,"Slice of Life, Psychological, Drama, Magic, Fantasy"
11838,7750,DigiGirl Pop!: Strawberry & Pop Mix Flavor,TV,Unknown,26,False,"Feb 17, 2003 to Aug 12, 2003",3 min. per ep.,PG - Children,6.17,23,9975.0,11041,218,3,Winter 2003,Unknown,"GDH, HoriPro, Kids Station, Pioneer LDC",Creators Dot Com,"Comedy, Sci-Fi"
11845,636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,TV,Original,13,False,"Jan 8, 2004 to Apr 1, 2004",25 min. per ep.,PG-13 - Teens 13 or older,6.94,3156,3776.0,4131,7605,23,Winter 2004,Unknown,TV Tokyo Music,Madhouse,"Adventure, Comedy, Drama, Martial Arts, Samurai, Shounen"
11851,3614,Yakushiji Ryouko no Kaiki Jikenbo,TV,Light novel,13,False,"Jul 6, 2008 to Sep 28, 2008",23 min. per ep.,PG-13 - Teens 13 or older,7.16,4430,2986.0,3328,12796,33,Summer 2008,Unknown,"Starchild Records, GANSIS",Doga Kobo,"Mystery, Police, Supernatural"
11855,37254,Last Period: Owarinaki Rasen no Monogatari,TV,Game,12,True,"Apr 12, 2018 to ?",23 min. per ep.,PG-13 - Teens 13 or older,5.99,1775,7348.0,3277,13264,8,Spring 2018,Thursdays at 00:00 (JST),Egg Firm,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Magic"
11859,34973,Love Live! Sunshine!! 2nd Season,TV,Original,13,False,"Oct 7, 2017 to Dec 30, 2017",23 min. per ep.,PG-13 - Teens 13 or older,7.78,17387,927.0,1648,44741,765,Fall 2017,Saturdays at 22:30 (JST),"Bandai Visual, Lantis, ASCII Media Works, Bushiroad",Sunrise,"Music, School, Slice of Life"
11869,6030,Needless,TV,Manga,24,False,"Jul 3, 2009 to Dec 11, 2009",24 min. per ep.,R - 17+ (violence & profanity),7.38,44682,2120.0,837,103868,514,Summer 2009,Unknown,"Avex Entertainment, Lantis",Madhouse,"Action, Comedy, Ecchi, Sci-Fi, Super Power"
11871,369,Boogiepop wa Warawanai: Boogiepop Phantom,TV,Light novel,12,False,"Jan 5, 2000 to Mar 22, 2000",24 min. per ep.,R+ - Mild Nudity,7.21,16586,2764.0,1380,57994,493,Winter 2000,Thursdays at 01:45 (JST),"VAP, d-rights",Madhouse,"Psychological, Supernatural, Dementia, Mystery, Horror, Drama"
11872,7960,Pachislo Kizoku Gin,TV,Unknown,23,False,"Apr 11, 2001 to Sep 12, 2001",25 min. per ep.,None,6.13,24,11703.0,10235,338,0,Spring 2001,Unknown,"Fuji TV, Yomiuri Advertising",Actas,"Action, Game"
11878,1690,Bokurano,TV,Manga,24,False,"Apr 9, 2007 to Sep 25, 2007",23 min. per ep.,R - 17+ (violence & profanity),7.75,31357,981.0,869,100400,927,Spring 2007,Mondays at 01:30 (JST),Sotsu Music Publishing,Gonzo,"Sci-Fi, Psychological, Drama, Mecha"
11883,3101,F-Zero: Falcon Densetsu,TV,Game,51,False,"Oct 7, 2003 to Sep 28, 2004",23 min. per ep.,PG - Children,6.45,1314,5789.0,4854,5051,48,Fall 2003,Tuesdays at 18:30 (JST),Studio Jack,Production Reed,"Action, Sci-Fi, Adventure, Cars, Sports, Mecha, Shounen"
11888,15059,Initial D Fifth Stage,TV,Manga,14,False,"Nov 4, 2012 to May 10, 2013",27 min. per ep.,PG-13 - Teens 13 or older,8.15,24191,373.0,1614,46285,260,Fall 2012,Unknown,"Avex Entertainment, Animax",SynergySP,"Action, Cars, Sports, Drama, Seinen"
11894,5475,Time Bokan 2000: Kaitou Kiramekiman,TV,Unknown,26,False,"Apr 5, 2000 to Oct 4, 2000",25 min. per ep.,PG-13 - Teens 13 or older,6.16,83,6917.0,9758,436,1,Spring 2000,Unknown,"TV Tokyo, Yomiuri Advertising",Tatsunoko Production,"Action, Adventure, Comedy, Mecha, Sci-Fi"
11906,63,DearS,TV,Manga,12,False,"Jul 11, 2004 to Sep 26, 2004",23 min. per ep.,R+ - Mild Nudity,6.74,59249,4570.0,820,105741,349,Summer 2004,Sundays at Unknown,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,"Sci-Fi, Harem, Comedy, Romance, Ecchi"
11907,1597,Panyo Panyo Di Gi Charat,TV,Unknown,48,False,"Jan 5, 2002 to Apr 3, 2003",8 min. per ep.,G - All Ages,6.82,1105,4248.0,5520,3669,13,Winter 2002,Unknown,Broccoli,Madhouse,Comedy
11911,11017,Battle Spirits: Heroes,TV,Card game,50,False,"Sep 18, 2011 to Sep 2, 2012",24 min. per ep.,PG - Children,6.57,250,5316.0,8043,1130,1,Fall 2011,Unknown,Nagoya TV Housou,Sunrise,"Game, Sci-Fi"
